"batch","fromId","toId","value"
"1","7","2","4.0469844016320364E-5"
"1","7","3","0.005153898409660642"
"1","7","4","9.369638519424038E-15"
"1","7","5","9.369638519424038E-15"
"1","7","6","9.369638519424038E-15"
"1","7","8","0.013318819718257095"
"1","8","1","7.440788667411805E-5"
"1","8","2","9.369638519424038E-15"
"1","8","3","7.617734805523615E-5"
"1","8","4","9.369638519424038E-15"
"1","8","5","1.7152877687604353"
"1","8","6","9.369638519424038E-15"
"1","8","7","9.261398237736985E-6"
"2","1","2","3.819911283248394E-6"
"2","1","3","1.7558025196934953E-28"
"2","1","4","0.9332469976868637"
"2","1","5","2.151473309946979E-5"
"2","1","6","1.7558025196934953E-28"
"2","1","7","1.7558025196934953E-28"
"2","1","8","9.391535278690874E-19"
"2","2","1","3.5732756003246164E-20"
"2","2","3","0.12275567324760175"
"2","2","4","1.7558025196934953E-28"
"2","2","5","1.7558025196934953E-28"
"2","2","6","7.040537760509013E-17"
"2","2","7","0.04239115827522153"
"2","2","8","1.7558025196934953E-28"
"2","3","1","1.7558025196934953E-28"
"2","3","2","2.650665271918934E-12"
"2","3","4","7.219455034937768E-7"
"2","3","5","1.7558025196934953E-28"
"2","3","6","8.459395043225071E-27"
"2","3","7","0.042391158275216244"
"2","3","8","5.983858066120759E-7"
"2","4","1","1.1535296270376418"
"2","4","2","1.7558025196934953E-28"
"2","4","3","1.7558025196934953E-28"
"2","4","5","2.5366267437735433E-8"
"2","4","6","1.7558025196934953E-28"
"2","4","7","5.132943011708626E-17"
"2","4","8","7.459576759961737E-7"
"2","5","1","1.2132607150445179E-8"
"2","5","2","1.7558025196934953E-28"
"2","5","3","1.7558025196934953E-28"
"2","5","4","4.984713111971185E-26"
"2","5","6","0.01478088294166953"
"2","5","7","1.7558025196934953E-28"
"2","5","8","0.05433248605331865"
"2","6","1","1.7558025196934953E-28"
"2","6","2","1.0011797572056833"
"2","6","3","1.7558025196934953E-28"
"2","6","4","1.7558025196934953E-28"
"2","6","5","6.5474770070138E-8"
"2","6","7","3.465270545260768E-22"
"2","6","8","1.7558025196934953E-28"
"2","7","1","1.7558025196934953E-28"
"2","7","2","7.583756187407948E-19"
"2","7","3","9.658033012870921E-17"
"2","7","4","1.7558025196934953E-28"
"2","7","5","1.7558025196934953E-28"
"2","7","6","0.014780882941434608"
"2","7","8","0.004174558885704459"
"2","8","1","0.007073238541282167"
"2","8","2","1.7558025196934953E-28"
"2","8","3","0.0024650347049580707"
"2","8","4","6.417598211521626E-9"
"2","8","5","0.1655691487185946"
"2","8","6","1.7558025196934953E-28"
"2","8","7","6.648731184580351E-7"
"3","1","2","1.736700409675811E-6"
"3","1","3","3.2902469842043923E-42"
"3","1","4","0.0014666330947555076"
"3","1","5","9.677749124272263E-10"
"3","1","6","3.2902469842043923E-42"
"3","1","7","3.2902469842043923E-42"
"3","1","8","0.0017970102999144335"
"3","2","1","6.252872956926567E-11"
"3","2","3","0.023589524117141478"
"3","2","4","3.2902469842043923E-42"
"3","2","5","0.0014555783429306911"
"3","2","6","3.358993845544076E-4"
"3","2","7","7.943796589170329E-16"
"3","2","8","3.2902469842043923E-42"
"3","3","1","3.2902469842043923E-42"
"3","3","2","9.242298322399854E-13"
"3","3","4","3.973037987235573E-9"
"3","3","5","3.2902469842043923E-42"
"3","3","6","1.5852294729605277E-40"
"3","3","7","2.45996192218464E-10"
"3","3","8","2.6156925470051114E-6"
"3","4","1","0.002642129080172596"
"3","4","2","3.2902469842043923E-42"
"3","4","3","6.265845423687255E-4"
"3","4","5","1.4115816386218418E-5"
"3","4","6","3.2902469842043923E-42"
"3","4","7","9.618764112102718E-31"
"3","4","8","0.00515377520732012"
"3","5","1","0.0033831080672557814"
"3","5","2","3.2902469842043923E-42"
"3","5","3","3.2902469842043923E-42"
"3","5","4","0.0024650347049580707"
"3","5","6","1.1586976810570977E-11"
"3","5","7","3.2902469842043923E-42"
"3","5","8","0.44308344656156984"
"3","6","1","3.2902469842043923E-42"
"3","6","2","2.1847597558893433E-4"
"3","6","3","3.2902469842043923E-42"
"3","6","4","3.2902469842043923E-42"
"3","6","5","0.025031555049932444"
"3","6","7","0.01824800363140075"
"3","6","8","3.2902469842043923E-42"
"3","7","1","3.2902469842043923E-42"
"3","7","2","1.4211410819091583E-32"
"3","7","3","0.002218531234784523"
"3","7","4","3.2902469842043923E-42"
"3","7","5","3.2902469842043923E-42"
"3","7","6","0.052350447543165486"
"3","7","8","0.478296900117659"
"3","8","1","1.3254737658694412E-16"
"3","8","2","3.2902469842043923E-42"
"3","8","3","3.323037676398834E-11"
"3","8","4","0.07178979876950754"
"3","8","5","0.5721007439616385"
"3","8","6","3.2902469842043923E-42"
"3","8","7","0.0581497370054257"
